userWallet,total_txn,num_deposits,num_borrows,num_repays,num_redeems,num_liquidations,total_amount,avg_amount,std_amount,cluster,credit_score
0x00000000001accfa9cef68cf5371a23025b6d4b6,1,1,0,0,0,0,2000000000.0,2000000000.0,0.0,0,200
0x000000000051d07a4fb3bd10121a343d85818da6,1,1,0,0,0,0,1.45e+20,1.45e+20,0.0,0,200
0x000000000096026fb41fc39f9875d164bd82e2dc,2,2,0,0,0,0,5000000000000000.0,2500000000000000.0,2121320343559642.5,0,200
0x0000000000e189dd664b9ab08a33c4839953852c,17,0,0,0,0,0,4.835297129866919e+18,2.8442924293334816e+17,1.0849013441996892e+18,0,200
0x0000000002032370b971dabd36d72f3e5a7bf1ee,399,250,15,4,0,0,1.735192169438288e+23,4.348852554983178e+20,1.684377432357193e+21,4,1000
0x000000000a38444e0a6e37d3b630d7e855a7cb13,25,7,8,5,0,0,1.0611918153072991e+22,4.244767261229196e+20,1.4372968724004906e+21,0,200
0x000000003853fcedcd0355fec98ca3192833f00b,8,8,0,0,0,0,4.542699271260784e+16,5678374089075980.0,8007506601537841.0,0,200
0x000000003ce0cf2c037493b1dc087204bd7f713e,492,309,30,16,0,0,5.4575312014071325e+23,1.109254309229092e+21,3.4706448248548407e+21,4,1000
0x000000007858e6f2668e1e06111cfa24403a5466,1,1,0,0,0,0,9.264749382774973e+16,9.264749382774973e+16,0.0,0,200
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1,1,0,0,0,0,1797442.0,1797442.0,0.0,0,200
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,69,26,24,9,0,0,2.799429952335719e+24,4.0571448584575635e+22,4.807122567956568e+22,1,400
0x00000029ff545c86524ade7caf132527707948c4,47,12,12,12,0,0,7.816530438936759e+24,1.663091582752502e+23,3.317324857355523e+23,1,400
0x00000087c4cebffb95746d1935de7fbcab092f40,250,86,62,45,0,0,4.218291098495467e+22,1.6873164393981867e+20,1.2593416012772692e+21,4,1000
0x000000e28faa823d5b53ff6c2922c28335840375,297,107,66,63,0,0,8.503793099391043e+24,2.863229999794964e+22,4.991648225638238e+22,4,1000
0x000006eee6e39015cb523aebdd4d0b1855aba682,28,11,4,1,0,0,1.350045818666493e+23,4.821592209523189e+21,7.894605160183042e+21,0,200
0x00000a9c78912badb92d73b6ed26456e11def5eb,1,1,0,0,0,0,1690049.0,1690049.0,0.0,0,200
0x00001bc47f0973f794f79c16121cee879e272d6a,4,0,0,0,0,0,53394118307.0,13348529576.75,65963965.10184094,0,200
0x00002b503a75998c97508916a74fdb41934fa030,147,27,47,45,0,0,1.0169365702567609e+24,6.917935852086809e+21,2.8497554719333e+22,1,400
0x0000897253cc85f7547317eb2080b36b3255687a,2,1,0,0,0,0,2.8943712139977434e+17,1.4471856069988717e+17,1398547157141.6094,0,200
0x0000b252c943089fbba5554a1d196ef79bc77e4f,1,1,0,0,0,0,1109908.0,1109908.0,0.0,0,200
0x0000ce08fa224696a819877070bf378e8b131acf,14,3,1,0,0,0,2.9085554434893755e+21,2.077539602492411e+20,4.448720712085871e+20,0,200
0x00010a708585ba4812a1c5976182626c75cb7a6b,29,9,6,7,0,0,8.202241481753954e+20,2.8283591316392944e+19,7.761911799397448e+19,0,200
0x00016fc0c9f7620e920e1423fd455f9574f48025,2,2,0,0,0,0,1.2652993450826146e+16,6326496725413073.0,22666167457852.0,0,200
0x0002761e848b24046a53d494847b11a3e1d36b09,1,1,0,0,0,0,1.0080314238445638e+18,1.0080314238445638e+18,0.0,0,200
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,2,2,0,0,0,0,1010439.0,505219.5,714349.6759462414,0,200
0x0003816b25fd3d6c112eb65c089760fa3f791947,4,1,1,1,0,0,1.00026e+22,2.50065e+21,2.886000790598182e+21,0,200
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,37,12,5,0,0,0,5.3569089017287836e+20,1.447813216683455e+19,5.977358224987532e+19,0,200
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,2,1,0,0,0,0,2100051359.0,1050025679.5,166.17009357883867,0,200
0x0003f46779806fe779e7f30eec95dbdb4d45840b,24,8,6,5,0,0,6702512638.0,279271359.9166667,236376324.47409365,0,200
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,10,2,3,1,0,0,3230306083.0,323030608.3,277131096.8474342,0,200
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,2,1,1,0,0,0,8.458931557812315e+17,4.2294657789061574e+17,5.981367859050907e+17,0,200
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,6,2,1,1,0,0,8.199999e+19,1.3666665000000002e+19,3.6147870384505364e+18,0,200
0x0005696d4be2359526c497fe4a4c0620b41f2426,7,1,1,1,0,0,1.03156179929372e+20,1.4736597132767429e+19,3.873077116269094e+19,0,200
0x000660cad76200a2e326f53e033919905e6c50f5,1,1,0,0,0,0,1064772.0,1064772.0,0.0,0,200
0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,1,1,0,0,0,0,1.3e+18,1.3e+18,0.0,0,200
0x00080000158a9930aeb508823103b0a977161c47,2,2,0,0,0,0,3e+18,1.5e+18,7.071067811865476e+17,0,200
0x00099b1263c22ae2ce0a52624cef2a012e751970,2,2,0,0,0,0,4712595639187231.0,2356297819593615.5,3332069953908106.0,0,200
0x0009ce45d5df78e632a0b4987079432dfba2253a,1,1,0,0,0,0,4.1e+16,4.1e+16,0.0,0,200
0x000a27ba176083e4b50177378cbe7469a00dd557,12,4,2,2,0,0,873358765.0,72779897.08333333,49703908.74057894,0,200
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,43,18,8,5,0,0,5.204052395703801e+22,1.2102447431869305e+21,1.9586330459614017e+21,0,200
0x000ab43e658935ba39504a1424b01756c1e9644c,2,1,1,0,0,0,1.1e+17,5.5e+16,6.363961030678928e+16,0,200
